t,loss,phase,noise
0.6,21.63304710388184,NF1,0.0
0.6,21.89460563659668,NF2,0.0
0.6499999999999999,21.7578182220459,NF1,0.0
0.6499999999999999,21.90064239501953,NF2,0.0
0.7,21.563743591308597,NF1,0.0
0.7,21.9199333190918,NF2,0.0
0.7499999999999999,21.69297409057617,NF1,0.0
0.7499999999999999,21.855545043945312,NF2,0.0
0.7999999999999999,21.684490203857425,NF1,0.0
0.7999999999999999,21.88734245300293,NF2,0.0
0.85,21.747095108032227,NF1,0.0
0.85,21.873533248901367,NF2,0.0
0.8999999999999999,21.63539695739746,NF1,0.0
0.8999999999999999,21.914888381958008,NF2,0.0
0.95,21.67318344116211,NF1,0.0
0.95,21.990842819213867,NF2,0.0
0.0,21.72798156738281,NF1,0.1
0.0,21.923355102539062,NF2,0.1
0.0499999999999999,21.76370620727539,NF1,0.1
0.0499999999999999,22.123437881469727,NF2,0.1
0.0999999999999999,22.77210807800293,NF1,0.1
0.0999999999999999,22.37938690185547,NF2,0.1
0.15,25.442832946777344,NF1,0.1
0.15,25.340057373046875,NF2,0.1
0.1999999999999999,25.75870132446289,NF1,0.1
0.1999999999999999,29.51679229736328,NF2,0.1
0.2499999999999999,33.20085144042969,NF1,0.1
0.2499999999999999,30.27078628540039,NF2,0.1
0.3,30.89678192138672,NF1,0.1
0.3,25.199617385864254,NF2,0.1
0.35,27.05953788757324,NF1,0.1
0.35,35.06785202026367,NF2,0.1
0.3999999999999999,31.137378692626957,NF1,0.1
0.3999999999999999,33.22419357299805,NF2,0.1
0.4499999999999999,29.53313636779785,NF1,0.1
0.4499999999999999,26.605300903320312,NF2,0.1
0.4999999999999999,31.513702392578125,NF1,0.1
0.4999999999999999,28.250957489013672,NF2,0.1
0.5499999999999999,31.910001754760746,NF1,0.1
0.5499999999999999,32.99535369873047,NF2,0.1
0.6,28.227941513061523,NF1,0.1
0.6,29.709047317504883,NF2,0.1
0.6499999999999999,29.57952880859375,NF1,0.1
0.6499999999999999,28.79692268371582,NF2,0.1
0.7,27.336885452270508,NF1,0.1
0.7,29.82860946655273,NF2,0.1
0.7499999999999999,29.74765968322754,NF1,0.1
0.7499999999999999,26.721071243286133,NF2,0.1
0.7999999999999999,25.823091506958008,NF1,0.1
0.7999999999999999,26.21091079711914,NF2,0.1
0.85,22.42448616027832,NF1,0.1
0.85,22.973682403564453,NF2,0.1
0.8999999999999999,22.42682456970215,NF1,0.1
0.8999999999999999,22.78818130493164,NF2,0.1
0.95,21.754026412963867,NF1,0.1
0.95,21.993555068969727,NF2,0.1
0.0,21.67664337158203,NF1,0.0
0.0,21.91595458984375,NF2,0.0
0.0499999999999999,21.64671897888184,NF1,0.0
0.0499999999999999,21.943532943725582,NF2,0.0
0.0999999999999999,21.66615295410156,NF1,0.0
0.0999999999999999,21.870494842529297,NF2,0.0
0.15,21.73731803894043,NF1,0.0
0.15,21.89180564880371,NF2,0.0
0.1999999999999999,21.64313697814941,NF1,0.0
