t,loss,phase,noise
0.7499999999999999,22.12680435180664,NF2,0.0
0.7999999999999999,22.22055053710937,NF1,0.0
0.7999999999999999,22.157447814941406,NF2,0.0
0.85,22.11656379699707,NF1,0.0
0.85,22.17113304138184,NF2,0.0
0.8999999999999999,22.19530296325684,NF1,0.0
0.8999999999999999,22.114917755126957,NF2,0.0
0.95,22.17630958557129,NF1,0.0
0.95,22.19575500488281,NF2,0.0
0.0,22.14370346069336,NF1,0.5
0.0,22.166318893432617,NF2,0.5
0.0499999999999999,22.504322052001957,NF1,0.5
0.0499999999999999,22.18770408630371,NF2,0.5
0.0999999999999999,22.56061172485352,NF1,0.5
0.0999999999999999,22.130216598510746,NF2,0.5
0.15,24.11031150817871,NF1,0.5
0.15,21.61630249023437,NF2,0.5
0.1999999999999999,23.86670684814453,NF1,0.5
0.1999999999999999,22.245332717895508,NF2,0.5
0.2499999999999999,27.13479995727539,NF1,0.5
0.2499999999999999,25.65638732910156,NF2,0.5
0.3,26.90700912475586,NF1,0.5
0.3,28.19863510131836,NF2,0.5
0.35,28.4069881439209,NF1,0.5
0.35,28.1252498626709,NF2,0.5
0.3999999999999999,26.788848876953125,NF1,0.5
0.3999999999999999,24.848854064941406,NF2,0.5
0.4499999999999999,25.11282730102539,NF1,0.5
0.4499999999999999,25.918289184570312,NF2,0.5
0.4999999999999999,25.871856689453125,NF1,0.5
0.4999999999999999,25.55126953125,NF2,0.5
0.5499999999999999,26.02900505065918,NF1,0.5
0.5499999999999999,27.67019271850586,NF2,0.5
0.6,26.37301445007324,NF1,0.5
0.6,24.61617088317871,NF2,0.5
0.6499999999999999,24.957992553710938,NF1,0.5
0.6499999999999999,25.662504196166992,NF2,0.5
0.7,25.1832275390625,NF1,0.5
0.7,24.69910049438477,NF2,0.5
0.7499999999999999,23.37444496154785,NF1,0.5
0.7499999999999999,24.9632511138916,NF2,0.5
0.7999999999999999,23.49236488342285,NF1,0.5
0.7999999999999999,23.31212615966797,NF2,0.5
0.85,22.525470733642575,NF1,0.5
0.85,22.83451461791992,NF2,0.5
0.8999999999999999,22.36292266845703,NF1,0.5
0.8999999999999999,22.267995834350582,NF2,0.5
